_id,distance,pace.hours,pace.minutes,pace.seconds,points,time.hours,time.minutes,time.seconds,user_id,createdAt,type
629f77a8f520a5786df73a71,0,0,0,0,0,0,0,22,629c3fee7316fa52d753a609,2022-06-07T16:07:04.423Z,walk-run
629f77edf520a5786df73a93,0.51,0,25,40,102,0,12,41,620399d32dea01e03f6641ce,2022-06-07T16:08:13.724Z,walk-run
629f7801f520a5786df73aa8,0.52,0,12,36,104,0,6,9,62913a2c7316fa52d752bc85,2022-06-07T16:08:33.703Z,walk-run
629f780ef520a5786df73ac6,0,0,0,0,0,0,0,2,629c3fee7316fa52d753a609,2022-06-07T16:08:46.036Z,walk-run
629f7848f520a5786df73ae0,0,0,0,0,0,0,0,10,629f77c2f520a5786df73a8b,2022-06-07T16:09:44.766Z,walk-run
629f785bf520a5786df73af5,0.1,0,0,0,20,0,1,27,629880877316fa52d753578c,2022-06-07T16:10:04.008Z,walk-run
629f78b9f520a5786df73b28,1.96,0,16,6,392,0,31,42,62984bef7316fa52d7535058,2022-06-07T16:11:37.653Z,walk-run
629f7920f520a5786df73b88,11.13,0,6,46,2226,1,4,16,629b4d0d7316fa52d7539199,2022-06-07T16:13:20.703Z,walk-run
629f7934f520a5786df73b96,0,0,0,0,0,0,0,27,61a73fea861f3e09af5c8d44,2022-06-07T16:13:40.980Z,walk-run
629f7959f520a5786df73bc6,1.91,0,36,0,382,1,8,57,629e34807316fa52d75411c8,2022-06-07T16:14:17.265Z,walk-run
629f7970f520a5786df73bd3,0.81,0,14,29,162,0,11,49,6297388c7316fa52d75333bf,2022-06-07T16:14:40.776Z,walk-run
629f7993f520a5786df73be2,0.91,0,14,48,182,0,12,36,629739b37316fa52d75333df,2022-06-07T16:15:15.384Z,walk-run
629f7993f520a5786df73bf0,0.2,0,3,11,40,0,12,37,629bae637316fa52d7539d9b,2022-06-07T16:15:15.574Z,walk-run
629f7996f520a5786df73bfa,0.94,0,19,21,188,1,14,42,629b72ed7316fa52d75395f6,2022-06-07T16:15:18.224Z,walk-run
629f7997f520a5786df73c08,0,0,0,0,0,0,0,2,629bae637316fa52d7539d9b,2022-06-07T16:15:19.244Z,walk-run
629f79a6f520a5786df73c1b,0.75,0,17,43,150,0,12,32,629737ae7316fa52d7533373,2022-06-07T16:15:34.486Z,walk-run
629f79edf520a5786df73c3f,6.11,0,11,31,1222,1,4,23,629753227316fa52d7533589,2022-06-07T16:16:45.353Z,walk-run
